saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,scan
178.201.213.126,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
79.198.31.252,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
79.215.108.238,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
178.3.218.86,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
10.20.20.6,210.117.181.96,5,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,0,0,0,1,173,56,1,56.0,0,0
210.117.181.86,210.117.181.96,0,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20223,36526,18,5,173,52,10.272418975830078,5.0620988223271,0,0
210.117.181.96,172.217.161.202,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,32804,443,16,8873,2,52,1.9260444641113281,26.998338288100044,0,0
210.117.181.96,172.217.161.202,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,32800,443,16,8873,2,52,1.9260444641113281,26.998338288100044,0,0
154.91.18.208,210.117.181.96,0,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,49684,18,2,173,52,1,52.0,0,1
210.117.181.96,140.82.112.25,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,52702,443,16,8873,2,52,46.345579624176025,1.122005602727954,0,0
168.221.100.195,210.117.181.96,0,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,22733,18,1,173,44,1,44.0,0,1
206.210.232.116,210.117.181.96,0,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,22733,18,2,173,44,1,44.0,0,1
154.91.18.208,210.117.181.96,0,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,22733,18,2,173,44,1,44.0,0,1
206.210.232.116,210.117.181.96,0,bc:e7:12:22:12:67,70:5d:cc:57:c7:b5,23,40454,18,2,173,44,1,44.0,0,1
210.117.181.86,210.117.181.96,0,18:c0:4d:c1:99:40,70:5d:cc:57:c7:b5,20223,36526,24,5,173,42,10.272418975830078,4.088618279571889,0,0
210.117.181.96,89.64.13.218,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,90.221.87.218,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,180.100.159.119,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,47.31.239.26,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,108.58.92.125,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,73.251.225.93,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,189.158.102.156,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,204.235.102.93,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,177.81.222.95,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,118.47.225.65,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,79.149.116.54,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,185.94.104.201,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,149.32.7.144,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,216.179.163.72,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,9.0.131.187,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,80.90.52.128,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,134.248.41.125,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,113.98.246.106,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
